name,id_okpdtr,okpdtr
"Мастер/производитель работ (фасадные работы, монтаж светопрозрачных конструкций)",,
Ведущий разработчик DWH Департамента аналитических систем,,
Продуктовый аналитик,,
Технический руководитель проекта (ГИП - энергетика),,
Инженер-проектировщик РЗА,48935,Инженер-проектировщик
Специалист по работе с просроченной задолженностью,,
Менеджер по закупкам и логистике,,
Системный аналитик направление «Интеграции» ( Академгородок),,
Руководитель проекта,49945,Руководитель полетов
Заместитель директора службы технического заказчика,,
Системный администратор,,
Разнорабочий,43413,Горнорабочий
Инженер по наладке и испытаниям,48861,Инженер по наладке и испытаниям
Специалист по контролю качества,50059,Специалист по эргономике
Производитель работ (система пожарной сигнализации и оповещения людей при пожаре),,
Специалист в отдел управления услугами,50028,Специалист
Бизнес-аналитик,,
Технико-коммерческий инженер,,
Системный аналитик,,
Оценщик,49702,Оценщик
Ведущий программист 1С,48114,Ведущий программы
Инженер по системной интеграции слаботочных систем,,
Специалист по допечатной подготовке,50052,Специалист по подготовке сборных команд
Sales manager,,
Менеджер по работе с клиентами SOFT collection (Департамент взыскания),,
Middle .Net Core Developer,,
Руководитель проекта,49945,Руководитель полетов
Руководитель группы кадрового учета,49935,Руководитель группы (научно-технического развития)
Диспетчер-логист/менеджер по грузоперевозкам,,
Java-разработчик (Senior),46404,Размотчик
Ведущий разработчик 1С,,
Тестировщик ПО/QA Engineer (направление VoIP),,
"Прораб/начальник участка (системы водопровода, канализации, отопления)",,
Специалист по корпоративной культуре,50053,Специалист по социальной работе
Инженер технической поддержки (направление - маршрутизаторы),,
Операционный директор (COO),,
Инженер отдела строительного контроля (общестроительные работы),,
Руководитель строительного проекта,49945,Руководитель полетов
Аналитик,,
Менеджер проектов (энергетика),,
Помощник конструктора,49743,Помощник прокурора
Инженер-энергетик,48951,Инженер-энергетик
Разработчик Java,46404,Размотчик
Инженер ВОЛС,48799,Инженер
Дизайнер - Консультант Мебели на заказ,,
Ведущий аналитик-проектировщик,,
Senior Java developer,,
Бизнес-аналитик,,
Специалист службы поддержки 1С / Консультант 1С,,
Специалист по продажам органам государственной власти,,
Менеджер IT-проектов,49295,Менеджер (в торговле)
Senior Analyst/Lead,,
BI-разработчик,46404,Размотчик
Инженер ПТО,48799,Инженер
HR менеджер,49291,Менеджер
Менеджер по клинингу,49304,Менеджер по рекламе
Инженер в отдел экспертизы промышленной безопасности,48799,Инженер
Инженер-прочнист,48936,Инженер-протезист
Инженер слаботочных систем,,
Аналитик (Голосовые и чат-боты),,
Инженер по стандартизации (нормоконтролер),48903,Инженер по стандартизации
Middle C#-разработчик,46404,Размотчик
Менеджер по лизингу,49302,Менеджер по персоналу
Менеджер объекта,49291,Менеджер
"Инженер отдела строительного контроля (КИПиА), г. Омск",,
Администратор проекта,48012,Администратор
Специалист технической поддержки (2 линия),,
Руководитель проекта,49945,Руководитель полетов
Разработчик DWH,46404,Размотчик
Data scientist (Natural Language Processing),,
Solution Architect (Windows 10),,
Бизнес-аналитик,,
Инженер эксплуатации (Linux),48920,Инженер по эксплуатации аэродромов
Инженер неразрушающих методов контроля (дефектоскопист),,
Ведущий инженер по котельному оборудованию/ Ведущий инженер по турбинному оборудованию,,
Системный аналитик (BIT),,
Бизнес-аналитик в R&D (Академгородок),,
"Эксперт промышленной безопасности по направлениям Э8 ТУ,ЗС; Э11 ТУ,ЗС; Э12 ТУ,ЗС",,
"Head of Development (CTO, Tech Lead) в VR-startup",,
Системный аналитик (Fiji),,
Производитель работ,49859,Производитель гидрографических работ
Инженер по автоматизации на производство электрощитового оборудования,,
Инженер-проектировщик РЗиА,48935,Инженер-проектировщик
Менеджер по подбору персонала,49302,Менеджер по персоналу
Руководитель продукта (Product Owner),49945,Руководитель полетов
Менеджер по продажам медицинского оборудования,,
Региональный менеджер отдела продаж,,
Директор по развитию,48502,Директор по производству
Руководитель команды разработки (Fiji),,
Техник-технолог,50211,Техник-технолог
Руководитель проекта,49945,Руководитель полетов
Менеджер по продажам медицинского оборудования,,
Главный инженер проекта,48269,Главный инженер проекта
Team Lead (Fiji),,
Бизнес-аналитик,,
Руководитель группы удаленной поддержки пользователей,,
Инженер-сметчик,48820,Инженер-механик
Инженер по сварке - руководитель сварочных работ,,
Frontend-разработчик,46404,Размотчик
Руководитель строительных проектов в ИТ,49945,Руководитель полетов
Региональный менеджер (лабораторное оборудование),,
Руководитель направления строительных проектов,,
Project manager / Менеджер проектов,49295,Менеджер (в торговле)
